Pavadinimas,Autorius,Publikavimo duomenys
"Dreissig Discursus, oder Predigten über den Englischen Gruss, oder Ave Maria, auf die Form und Art dess Dominicalis und Festivalis eingerichtet","Faber, Vitus","Würtzburg : gedruckt bey Hiob Hertz, [post 2 II] 1681"
Und die Bibel hat doch recht,"Keller, Werner","Berlin : Ullstein, 209"
7 Чуств:Альбом,"Ленн,  Миша","Москва : Студия ""4+4'', 209"
Титаны Возрождения и секреты тамплиеров и иллюминатов,"Кокс, С.","М. : АСТ, 207"
Kapuściński: nie ogarniam świata,"Kapuściński, Ryszard","Warszawa : Wydawnictwo Świat Książki, 207"
Būkime judrūs,"Barzdonytė-Morkevičienė, Loreta","Kaunas : D&DM, 2024"
Corporate social hypocrisy,"Štreimikienė, Dalia","New York : Routledge, 2024"
Sustainable energy development,"Šikšnelytė, Indrė","Boca Raton, Fla. : CRC Press, 2024"
De perfectione,"Tiškevičius, Jurgis (apie 1571-1625)","Cracoviae : in Officina Andreae Petr[icovii]..., [post 2 I] 1624"
"Compendium Biblie totius, hoc est Epitoma sacrae scripturae utriusque s. testamenti iuxta literalem sensum","Aureolus, Petrus (apie 1280-1322)","[Strasbourg] : [Ioanne Schotto pressore Argentinensi], [21. Februarij 1514]"
Награда рыцаря,"Маккерриган, Сара","Москва : АСТ, 208"
"Elevatika, arba Elevacinė etika","Beržinskas, Gediminas","Vilnius : [Baltijos kopija], 2024"
Vandens nauda,"Barzdonytė-Morkevičienė, Loreta","Kaunas : D&DM, 2024"
Triukšmo žala,"Barzdonytė-Morkevičienė, Loreta","Kaunas : D&DM, 2024"
Jono Lukšės kraštotyros rinkinio apžvalga,"Nėnienė, Inga","Kaunas, 2023.10.27"
Kvietimas Albinai Saladūnaitei ir bendraminčiams į Panevėžio vyskupo emerito Jono Kaunecko 85-erių metų jubiliejų,"Kauneckas, Jonas","Panevėžys, 2023 06 24"
Nekaltieji ir kaltininkai,"Δούκα, Μάρω","Vilnius : BALTO leidybos namai, 2023"
Разрушенный дворец,"Watt, Erin","Москва : АСТ, [2023]"
Wiktor But,"Гасюк, Александр Геннадьевич","Vilnius : Baltosios gulbės, 2023"
