Pavadinimas,Autorius,Publikavimo duomenys
Šviesiuko skaičiai,"Buzienė, Laura","Šiauliai : Lucilijus, 2023"
Tomb of sand,"Śrī, Gītāñjali","[London] : Tilted Axis Press, [2023]"
Pažadai vidurnaktį,"Woods, Sherryl","Vilnius : Svajonių knygos, 2023"
Labiausiai apkalbama panelė,"Heath, Virginia","Vilnius : Svajonių knygos, 2023"
Dvasinė paguoda,"Gallagher, Timothy M.","Vilnius : Katalikų pasaulio leidiniai, [2023]"
Laikas mirti,"Diat, Nicolas","Vilnius : Katalikų pasaulio leidiniai, [2023]"
Surplus-enjoyment,"Žižek, Slavoj","London : Bloomsbury Academic, 2023"
Visuomeninis ugdymas,"Dobrovolskienė, Irma","Vilnius : Šviesa, 2023"
Lukas Šiaudelis laimi milijoną,"Dirgėla, Tomas","Vilnius : Tyto alba, 2023"
Gyvenimo linijos vingiai,"Balčiūnas, Vidmantas","Vilnius : [R. Balčiūnas], 2023"
Pavogtas dėmesys,"Hari, Johann","Vilnius : Briedis, 2023"
Architekten Reisen,"Kramer, Sibylle","[Berlin] : Braun Publishing, 2023"
Pokalbiai su tėvu,"Landsbergis, Vytautas V.","[Vilnius] : Dominicus Lituanus, [2023]"
Mano miesto plakatai,"Dambrauskas, Vilmantas","Šiauliai : Neatšaukti atidarymai, 2023"
Kapų planeta,"Källner, Oskar","Vilnius : Alma littera, 2023"
Kur eini? – Į biblioteką!,"Laurinavičius, Jonas","Kaunas : Naujasis lankas, 2023"
Griuvėsių mergaitė,"Bernstein, Lilly","Vilnius : Briedis, 2023"
Saldžiai kartu,"McCullough, Colleen (1937–2015)","Vilnius : Tyto alba, 2023"
Paskutinė vasara,"Swan, Karen","Vilnius : Tyto alba, 2023"
Dvasios iš gretimos gatvės,"White, Karen S.","Vilnius : Tyto alba, 2023"
The gospel according to the new world,"Condé, Maryse","New York : World Editions, [2023]"
While we were dreaming,"Meyer, Clemens","London : Fitzcarraldo Editions, [2023]"
Širdies jausmų vėrinys,"Jucevičiūtė-Subačienė, Dalia","Kaišiadorys : Printėja, 2023"
Optimistas,"Kantauskas, Algis","[Kaunas] : [Indigo print], [2023]"
Myliu,"Kisielienė, Neringa","[Kaunas] : [N. Kisielienė], [2023]"
Nebe ta moteris,"Pagán, Camille","Vilnius : BALTO leidybos namai, 2023"
Aitvaras virš pievos,"Kerulienė, Irena","Utena : Utenos Indra, 2023"
Fundamentals of design,"Ambach, Mike","Sulgen : Niggli, 2023"
Bakalauro baigiamojo ir kitų rašto darbų rengimo metodiniai nurodymai Verslo vadybos fakulteto studentams,"Skvarciany, Viktorija","Vilnius : Vilniaus Gedimino technikos universitetas, 2023"
Kalė,"Quintana, Pilar",2023
Ramuma,"Murnikovas, Arūnas","Vilnius [i.e. Kupiškis] : A. Murnikovas, 2023"
Lopšinė,"Börjlind, Cilla","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
The shards,"Ellis, Bret Easton","New York : Alfred A. Knopf, 2023"
Nuotolinio ir mišraus mokymo(-si) metodinė priemonė,"Balevičienė, Dovilė","Vilnius : Vilniaus universiteto leidykla, 2023"
Nuotolinio darbo iššūkiai ir galimybės,"Lazauskaitė-Zabielskė, Jurgita","Vilnius : Vilniaus universiteto leidykla, 2023"
Хто викрав короля кухнi,"Gatti, Alessandro","Харкiв : Видавництво Ранок, 2023"
"Mergina, kuri pabėgo iš Aušvico","Midwood, Ellie","Vilnius : Sofoklis, 2023"
Rytoj... ir vėl rytoj... ir vėl rytoj,"Zevin, Gabrielle","Vilnius : Alma littera, 2023"
Dingusi dukra,"Ferrante, Elena","Vilnius : Alma littera, 2023"
Dingusi dukra,"Ferrante, Elena","[Vilnius] : Alma littera, [2023]"
Aušvicas,"Rees, Laurence",2023
Vienas,"Karp, David (1922–1999)",2023
„Pafrontė“: Valstybė ir visuomenė Lietuvos pasienyje su Lenkija 1920–1939 m.,"Nekrašas, Leonas","Vilnius : Vilniaus universiteto leidykla, 2023"
Septynios čakros - septyni laipteliai realizacijos link,Sati Mata,"Gargždai, Klaipėdos rajonas : Tobulėjimo projektai, 2023"
Tik sauja smilčių,"Abramavičienė, Danutė","Kaunas : Naujasis lankas, 2023"
Eva ir Ema Palangoje,"Kettler, Aurika",2023
Lietuvių kova prieš germanizaciją Klaipėdos krašto mokyklose,"Nausėdas, Vladas (1911–1983)","Klaipėda : Klaipėdos universiteto leidykla, 2023"
Our missing hearts,"Ng, Celeste‏","London : Abacus, 2023"
Tegul širdis kalbės,"Valeikienė, Zita","Alytus : Alytaus spaustuvė, 2023"
Gyvybės ir sveikatos dėsniai,"Гогулан, Майя Федоровна","[Kaunas] : Luceo, [2023]"
Žmonija prieš Pabaigos Drakonę,"Dirgėla, Tomas","Vilnius : Tyto alba, 2023"
Išgelbėti mešką,"Viliūnė, Gina","Vilnius : Tyto alba, 2023"
Рабочая тетрадь. Прописи,"Агеева, Елена Борисовна","[Вильнюс] : [Petro ofsetas], [2023]"
Minčių žemėlapis,"Satkutė, Diana","[Kaunas] : [Di Lodi], [2023]"
Vaizdas virš namų stogų,"Kelman, Suzanne","Vilnius : Sofoklis, 2023"
Sunokimo tarpsnio ir genotipo įtaka metabolitų ir mineralinių medžiagų kiekiui erškėčio vaisiuose,"Medveckienė, Brigita","Kaunas : [Vytauto Didžiojo universitetas], 2023"
Šimpis Niurna,"Lang, Suzanne","Vilnius : „Baltų lankų“ leidyba, [2023]"
Atminčiai atminti,"Степанова, Мария Михайловна","Vilnius : Alma littera, 2023"
Polskie Uniwersytety Trzeciego Wieku na Litwie,"Liachovič, Roman","Wilno : [Standart Impressa], 2023"
"Prenatalinės netekties psichosocialinių procesų modelio plėtotė: moterų persileidimo patirtys, įveika ir pagalbos poreikiai","Kukulskienė, Milda","Kaunas : [Lietuvos sveikatos mokslų universitetas], 2023"
Raimundas Majauskas: koloritinės harmonijos ilgesys,"Majauskas, Raimundas","Vilnius : Lietuvos kultūros tyrimų institutas, 2023"
Mirties šokis,"Михайлишин, Ігор Ярославович","[Vilnius] : Hubris, [2023]"
Namas Trado gatvėje,"White, Karen S.",2023
Kapas jūroje,"Nore, Aslak","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Didžioji Panda ir Mažasis Drakonas,"Norbury, James","Vilnius : Alma littera, 2023"
Klajūnė širdis,"Jonušaitė, Justina","Kaišiadorys : Printėja, 2023"
Saugykla L-4,"Koepp, David","Vilnius : „Baltų lankų“ leidyba, [2023]"
Knygų moteris iš Neramiojo Upelio,"Richardson, Kim Michele",2023
Ukrainos karo audrose,"Kumpis, Arūnas",2023
Tiesioginių užsienio investicijų poveikio Europos Sąjungos šalių mokestinėms pajamoms vertinimas,"Šivickienė, Renata","Vilnius : [Mykolo Romerio universitetas], 2023"
Dawno malarstwo portretowe,"Zaucha, Tomasz","Krakow : Muzueum narodowe w krakowie, 2023"
Nekenčiu Paryžiaus,Aistė,"Vilnius : Svajonių knygos, 2023"
Virsmo simboliai,"Jung, Carl Gustav (1875–1961)","Vilnius : Margi raštai, [2023]"
Berniukas ieško tėčio,"Račickas, Vytautas","Vilnius : V. Račickas, 2023"
Aklas tigras,"Brown, Sandra","Vilnius : Alma littera, 2023"
Trečiadienis,"Amores, Eva","Vilnius : Alma littera, 2023"
7 хрустальных шаров,Hergé (1907-1983),"Москва : Мелик-Пашаев, 2023"
Regos nervas,"Gainza, María",2023
Акты отчаяния,"Nolan, Megan","Москва : Phantom press, 2023"
Lopšinė raganoms,"Fox, Hester",2023
Prabilę namai,"Ambrulevičiūtė, Aelita","Vilnius : Aukso žuvys, 2023"
Saulė dramblio narve,"Radžiūnaitė, Skaistė","Kaišiadorys : Printėja, 2023"
Doktor Dolittle i jego zwierzęta,"Lofting, Hugh (1886–1947)","Konin : Wydawnictwo Ibis, 2023"
Król Maciuś Pierwszy,"Korczak, Janusz (apie 1878–1942)","[Konin] : IBIS, [2023]"
Чисто шведские убийства. Отпуск в раю,"де ла Мотт, Андерс","Москва : Манн, Иванова и Фербер, 2023"
"Skriskite, dainos, paukščių taku...","Virbickas, Vidmantas","Šiauliai : Lucilijus, 2023"
Šviesos link,"Bitinaitė, Rugilė Marija","Kaunas : Ridsales, 2023"
Чур я первый!,"Херцог, Аннетте","Москва : Мелик-Пашаев, 2023"
Diary of a Wimpy Kid,"Kinney, Jeff","London : Puffin Books, 2023"
In love,"Bloom, Amy","London : Grantham Books Services, 2023"
Mėlynas kraujas,"Gudas, Eimantas",2023
Kambario 622 paslaptis,"Dicker, Joël",2023
"Heroic cities of Bucha, Irpin, Hostomel","Подобна, Євгенія","Kharkiv : Folio, 2023"
Šimto metų istorija,"Wassmo, Herbjørg","Vilnius : Alma littera, 2023"
Дом под сиренями,"Alcott, Louisa May (1832–1888)","Москва : ЭНАС-КНИГА, 2023"
Доставка почты из Парижа,"Тейлор, Джордин","Москва : АСТ, 2023"
Доверие,"Дуглас, Пенелопа","Москва : АСТ, 2023"
Baltų šventvietės,"Vaitkevičius, Vykintas","Kaunas : Lututė, [2023]"
Charge carrier transport in hybrid perovskites,"Gegevičius, Rokas","Vilnius : Vilniaus universiteto leidykla, 2023"
Neteisėtai esančių užsieniečių grąžinimo teisinio reguliavimo problemos: non refoulemet principas ir užsieniečių apgręžimas,"Šaltė, Ilona","Vilnius : Mykolo Romerio universitetas, 2023"
"Imitacinių bendrovių mugės: pasirengimas, dalyvavimas ir rezultatų apibendrinimas","Bačiulytė, Rima","Vilnius : [Lietuvos imitacinių bendrovių asociacija „Liba“], [2023]"
Dienanaktis,"Landsbergis, Vytautas V.","[Vilnius] : Dominicus Lituanus, 2023"
Development and research of invasive and non-invasive electrodes for electrochemotherapy,"Malyško-Ptašinskė, Veronika","Vilnius : Vilniaus Gedimino technikos universitetas, 2023"
Požeminė sankryža,"Babonas, Stasys",2023
Беседы о музыке с Сэйдзи Одзавой,"Murakami, Haruki","Москва : Эксмо, 2023"
Miauksius ir Viauksius,"Parvela, Timo","Vilnius : Alma littera, 2023"
Slaptas kelias,"Swan, Karen",2023
Księga dżungli,"Kipling, Rudyard (1865–1936)","Konin : Wydawnictwo Ibis, 2023"
Auksinis protas. Grandinėlės,"Valinskas, Arūnas","[Vilnius] : UAB Valius, 2023"
The bandit queens,"Shroff, Parini","London : Atlantic books, 2023"
Jūsų smegenys – tai jūsų pinigai,"Zweig, Jason","[Kaunas] : Luceo, [2023]"
"Tarp įsitikinimo ir atvirybės: pilnutinės demokratijos ištakos, kontekstai ir perspektyvos","Aleksandravičius, Povilas","Vilnius : Mykolo Romerio universitetas, 2023"
Popierinės žvaigždės,"Melnikaitė, Andželika","Vilnius : [Asociacija] „Slinktys“, 2023"
"Aš, tu, atostogos","Henry, Emily","Vilnius : „Baltų lankų“ leidyba, [2023]"
Dėlionė,"Slaughter, Karin","Vilnius : BALTO leidybos namai, 2023"
Big Swiss,"Beagin, Jen","London : Faber & Faber, 2023"
Būties šešėliuose,"Kvetkaitė, Regina","Vilnius–Panevėžys [i.e. Panevėžys] : [R. Kvetkaitė], 2023"
Ledlaužis,"Ohlsson, Kristina","[Vilnius] : Lietuvos rašytojų sąjungos leidykla, [2023]"
Sentimentalūs ir monotoniški etiudai,"Jurkūnas, Jonas","Vilnius : Lietuvos muzikos ir teatro akademija, 2023"
Dienų atlasas,"Riggs, Ransom","[Vilnius] : Alma littera, [2023]"
Liber de domo,"Pavarienė, Rasa","[Vilnius] : [R. Pavarienė], [2023]"
Dūris,"Bogdanas, Ramūnas",2023
Kitokios istorijos ilgesys,"Eidintas, Alfonsas",2023
Tylos istorija,"Cicėnaitė, Akvilina","Vilnius : Alma littera, 2023"
Šešėlio sesuo,"Riley, Lucinda (1965–2021)","Vilnius : Tyto alba, 2023"
Nenuorama,"Rugsėjis, Skirmantė","Vilnius : Alma littera, 2023"
Agnesė Grėj,"Brontë, Anne (1820–1849)","Vilnius : Alma littera, 2023"
Тiнi забутих предкiв,"Коцюбинський, Михайло Михайлович (1864–1913)","Тернопiль : Богдан, 2023"
Critical theory and economics,"Maialeh, Robin","London : Routledge, Taylor & Francis Group, 2023"
Postapokalipsa,"Eidrigevičius, Stasys","[Lublin] : Galeria Sztuki Wirydarz, 2023"
Police intelligence,"Davis, Wayne L.","Boca Raton [etc.] : CRC Press, Taylor & Francis Group, 2023"
Political anthropology as method,"Szakolczai, Árpád","New York, N.Y. : Routledge, Taylor & Francis Group, 2023"
Toxic organizational cultures and leadership,"Hetrick, Susan","London : New York, N.Y., 2023"
Trade union finance,"Masters, Marick Francis","London : Routledge, Taylor & Francis Group, 2023"
Lapės puota,"Jarukas, Almantas","Kaunas : Naujasis lankas, 2023"
Ночь накануне,"Walker, Wendy","Москва : АСТ, 2023"
Visa graži,"Wons, Krzysztof","Vilnius : Katalikų pasaulio leidiniai, [2023]"
Молли и дельфины,"Doyle, Malachy","Астана : Фолиант, 2023"
Последняя жертва,"Marrs, John","Москва : Эксмо, 2023"
Išskirtiniai,"Gladwell, Malcolm","Vilnius : Eugrimas, 2023"
Apgaulingos sužadėtuvės,"Quick, Amanda","Vilnius : Svajonių knygos, 2023"
Das Erbe der Teehändlerin,"Popp, Susanne","Frankfurt am Main : Fischer Taschenbuch, 2023"
Žudikas Kremliuje,"Sweeney, John","Vilnius : Briedis, 2023"
Tu mane padainuok,"Bajoras, Feliksas","[Vilnius] : VšĮ ""Aidija"", 2023"
"Akmuo, popierius, žirklės","Feeney, Alice",2023
Рассказы на ладони,"Kawabata, Yasunari (1899–1972)","Санкт-Петербург : Гиперион, 2023"
Рубин Великого Ламы,"Laurie, André (1844-1909)","Москва : Вече, 2023"
Семь сестер. Потерянная сестра,"Riley, Lucinda (1965–2021)","Москва : Эксмо, 2023"
Kitas kalnas,"Brooks, David","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
Сёстры Гремийе. Сон Сары,"Di Gregorio, Giovanni","Москва : АСТ, 2023"
Сезон охоты на людей,"Hunter, Stephen","Санкт-Петербург : Азбука, 2023"
Killing moon,"Nesbø, Jo","[London] : Harvill Secker, 2023"
Vaikystės vaiduokliai,"Geringas, Tatjana","Vilnius : Lietuvos muzikų sąjunga, 2023"
"Cardiorespiratory, cognitive, and neuromuscular response to acute noxious heat exposure","Ivanovė, Soneta","Kaunas : [Lithuanian Sports University], 2023"
Essays on behavioral environmental economics applied to energy and production efficiency,"Asmare, Fissha","Vilnius : Vilnius University Press, 2023"
Вечеринка моей жизни,"Мендес, Ямиль Саид","Москва : АСТ, 2023"
Plaukti tamsoje,"Jędrowski, Tomasz","Vilnius : „Baltų lankų“ leidyba, [2023]"
Eolas: Ahasfero sugrįžimas,"Šatkus, Petras","[Vilnius] : [P. Šatkus], [2023]"
Якоб ищет Конни,"Гримм, Сандра","Москва : Альпина Паблишер, 2023"
Penki biologiniai dėsniai,"Markolin, Caroline","[Kaunas] : Luceo, [2023]"
"Effect of short-term continuous positive airway pressure on pulmonary and heart function, quality of life in patients with obstructive sleep apnea","Kondratavičienė, Laima","Kaunas : [Lithuanian University of Health Sciences], 2023"
Metformino ir imeglimino neuroprotekcinių savybių tyrimas taikant židininės galvos smegenų išemijos modelį,"Žemgulytė, Gintarė","Kaunas : [Lietuvos sveikatos mokslų universitetas], 2023"
Akademikas Mečislovas Mariūnas – mechanikos mokslo švyturys,"Šiaudytis, Vytautas","Kaunas : [V. Šiaudytis], 2023"
Visi mūsų vakar,"Ginzburg, Natalia (1916–1991)","Vilnius : Tyto alba, 2023"
Sicilijos liūtai,"Auci, Stefania","Vilnius : „Baltų lankų“ leidyba, [2023]"
Семь сестер. Сестра луны,"Riley, Lucinda (1965–2021)","Москва : Эксмо, 2023"
Семь сестер. Сестра солнца,"Riley, Lucinda (1965–2021)","Москва : Эксмо, 2023"
"Ginc ir išminties pedalas, arba Kaip mokytis groti lengvai ir išradingai","Gascevičius, Gintautas","Vilnius : L. Leščinskas, 2023"
Ar tikrai esu nevykėlė?,"McBride, Karyl","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
"Aukit, ąžuolėliai! – Oškit ąžuolais...","Baltrėnas, Vilius","Vilnius : Petro ofsetas, 2023"
Сгорая дотла,"Скотт, Эмма","Москва : Эксмо, 2023"
Смерть на фуникулёре,"Бранто, Тони","Москва : Эксмо, 2023"
Šaltu krauju,"Bryndza, Robert","Kaunas : Jotema, [2023]"
Drakonai Griūvančioje Pilyje ir kitos istorijos,"Pratchett, Terry (1948–2015)","Vilnius : Alma littera, 2023"
Šiogūnas,"Clavell, James (1925–1994)","Vilnius : Aukso pieva, [2023]"
San Francisco,"Hutcherson, Bobby (1941–2016)","Hollywood, CA : Blue Note Records, 2023"
Убийца рядом со мной. Мой друг - серийный маньяк Тед Банди,"Рул, Энн","Москва : Эксмо, 2023"
Убийство в доме на холме,"Уолтерс, Виктория","Москва : РИПОЛ классик, 2023"
Meteorologinių sąlygų poveikio dirvožemio drėgmei vertinimas,"Mačiulytė, Viktorija","Vilnius : Vilniaus universiteto leidykla, 2023"
Ugnies giesmės,"Kmita, Rimantas",2023
Laisvai cirkuliuojančios DNR ir TSHR promotoriaus metilinimo diagnozinė bei prognozinė vertė sergantiesiems papiline skydliaukės karcinoma,"Klimaitė, Raimonda","Kaunas : [Lietuvos sveikatos mokslų universitetas], 2023"
Kai kūnas sako ne,"Maté, Gabor","Vilnius : Vaga, 2023"
Mikroekonomikos ir makroekonomikos dalyko studijavimo vadovas apskaitos studijų programos studentams,"Maksvytienė, Inga","Kaunas : Kauno kolegijos Reklamos ir medijų centras, 2023"
Į vakarus su žirafomis,"Rutledge, Lynda",2023
Коли завмирае серце,"Oseman, Alice","Киïв : Видавництво коміксів, 2023"
Sveikatos abėcėlė,"Увайдов, Борис Рафаилович","[Kaunas] : Luceo, [2023]"
Vijetė,"Brontë, Charlotte (1816–1855)","Vilnius : Alma littera, 2023"
Baltymų kinazių MAPK ir AKT tarpusavio ryšio bei priklausomumo nuo užląstelinių kontaktų tyrimai plaučių vėžio kilmės ląstelių modeliuose,"Stulpinas, Aurimas","Vilnius : Vilniaus universiteto leidykla, 2023"
Mažieji vilniečiai,"Pipilevičienė, Ana","Kaišiadorys : Printėja, 2023"
Pedagogika pagal Matvejų,"Соловейчик, Симон Львович (1930–1996)","[Kaunas] : BigBookTalk, [2023]"
'Centuries will not suffice',"Buttar, Prit","Stroud, Glocestershire : Amberley Publishing, 2023"
Pagal Tavo žodį,"Bliūdžiuvienė, Regina","Kaišiadorys : Printėja, 2023"
The daily dad,"Holiday, Ryan","[New York, N.Y.] : Portfolio/Penguin, [2023]"
Kalėdų atvirukai,"Swan, Karen","Vilnius : Tyto alba, 2023"
Paslapčių psichologija,"Slepian, Michael","Vilnius : Tyto alba, 2023"
"Faktorių, veikiančių nukleorūgščių elektropernašą į ląsteles, tyrimas","Palepšienė, Rūta","Kaunas : [Vytauto Didžiojo universitetas], 2023"
Instruments of embodiment,"Mullis, Eric","Abingdon, Oxon : Routledge, 2023"
Queen Elizabeth II,"Strober, Deborah Hart","New York : Pegasus Books, 2023"
Good for a girl,"Fleshman, Lauren","New York : Penguin Press, 2023"
Retreats for the soul,"Bird, Sara","London : Ryland Peters & Small, 2023"
Teaching the annotated bibliography,"Cochran, Cynthia A.","New York, N.Y. : Routledge, Taylor & Francis Group, [2023]"
Apie pinigus su vaikais,"Banytė-Surplienė, Lina",2023
Hello beautiful,"Napolitano, Ann","New York : The Dial Press, [2023]"
King,"Eig, Jonathan","London [etc.] : Simon & Schuster, 2023"
The text & the city: spaces of Vilnius in Lithuanian literature and poetical documentary film of the second half of the 20th century,"Bidlauskienė, Gintarė","Vilnius : Vilnius University Press, 2023"
Trauma – nematoma epidemija,"Conti, Paul",2023
Taika ar karas,"Шишкин, Михаил Павлович",2023
A flash of darkness,"De Voe, Milda","Santa Barbara, Calif. : Borda Books, [2023]"
Influence of applied drama methods on the moral competence of middle-managers,"Medeišienė, Raimonda Agnė","Vilnius : Vilnius University Press, 2023"
Meanings of vernacular architecture: a contemporary detached residential house in Vilnius county,"Serbentienė, Viktorija","Vilnius : Lietuvos istorijos institutas, 2023"
Eilėraščiai,"Mykolaitytė-Vėgėlienė, Aldona","Vilnius [i.e. Kaunas] : Ridsales, 2023"
Tik šiandien...,"Galinienė, Gema","Kaunas : Ridsales, 2023"
Lubinų labirintas,"Daciūtė, Evelina","Vilnius : Alma littera, 2023"
Kur krenta šviesa,"Pataki, Allison","Vilnius : Alma littera, 2023"
Sodo metai,"Amšiejus, Algirdas","Vilnius : Alma littera, 2023"
Kai meilė ateina per Kalėdas,"Darkins, Ellie","Vilnius : Svajonių knygos, 2023"
Viską pakeitusios Kalėdos,"Meier, Susan","Vilnius : Svajonių knygos, 2023"
Keltiška Europos prigimtis,"Kraunevičius, Algirdas","[Kaunas] : [A. Kraunevičius], [2023]-"
Otis pas gydytoją,"Dirgėlienė, Skaistė","Vilnius : Alma littera, [2023]"
Paukštukai ir būžukai,"Žadeikienė, Svetlana","Alytus : Alytaus Jurgio Kunčino viešoji biblioteka, 2023"
Suvedžiotojo dienoraštis,"Kierkegaard, Søren (1813–1855)","Vilnius : Phi knygos, 2023"
Tu gali paliesti savo širdį,"Lileikis, Juozas","Kaunas : Ridsales, 2023"
Antarktidos indėnai,"Gaižauskas, Juozas","Vilnius : Alma littera, 2023"
Nutikimai,"Хармс, Даниил Иванович (1905–1942)","Vilnius : Vaga, 2023"
Žuvis vandenyje,"Laurinaitis, Eugenijus","Vilnius : Alma littera, 2023"
Bėgantis laikas,"Juknevičius, Gediminas","Kaunas : Ridsales, 2023"
Aplinkosaugos ir klimato kaitos nuostatos bei elgsena Lietuvoje,"Balžekienė, Aistė","Kaunas : Technologija, 2023"
The effect of maintaining operating parameters of agricultural tires to minimize soil compaction,"Zabrodskyi, Andrii","Kaunas : [Vytautas Magnus University], 2023"
Jūs – tai istorija,"Sepetys, Ruta","[Vilnius] : [Alma littera], [2023]"
Fragmentas: Remigijus Pačėsa,"Pačėsa, Remigijus (1955–2015)","Vilnius : Šiuolaikinio meno centras, 2023"
Ludwik Sitowski (1880-1947),"Gwiazdowicz, Dariusz J.","Poznań : Wydawnictwo Naukowe UAM, 2023"
"Kaip kalbėti su vaikais, kad jie klausytų ir kaip klausyti, kad vaikai kalbėtų","Faber, Adele","Vilnius : Vaga, 2023"
Brazilian adventure,"Fleming, Peter (1907-1971)","London : Eland Publishing, 2023"
"Псіхбальніца 33, або Мацей і Станіслаў","Турноўская, Маргарыта","Vilnius : Logvino literatūros namai, [2023]"
Į muzikos šalį,"Umbrasienė, Vida","Vilnius : Lietuvos muzikos ir teatro akademija, 2023"
Čia esu aš,"Janušaitis, Edmundas","Vilnius : Asociacija „Slinktys“, 2023"
Selling Europe to the world,"Donzé, Pierre-Yves","London [etc.] : Bloomsbury Visual Arts, 2023"
Sleeping beauties,"Wagner, Andreas","London : Oneworld Publications, 2023"
"Šalys, kultūros, žmonės ir kraštai","Mills, Andrea","Vilnius : Briedis, 2023"
Семь сестер,"Riley, Lucinda (1965–2021)","Москва : Эксмо, 2023"
Paliekant EGO lyderystę,"Avižinis, Paulius","Vilnius : Vaga, 2023"
Mirties šešėlyje,"Robb, J.D.","Kaunas : Jotema, [2023]"
Mimika,"Fitzek, Sebastian","Kaunas : Jotema, [2023]"
„Kas mūsų – kova įgysim“,"Vaitiekus, Severinas","Vilnius : Lietuvos gyventojų genocido ir rezistencijos tyrimo centras, 2023"
Fosilijos yra nėriniai,"Mažulienė, Marija","Kaunas : Kauko laiptai, 2023"
Megztų struktūrų analizė,"Mikučionienė, Daiva","Kaunas : Technologija, 2023"
Kolymos vargetos,"Шаламов, Варлам Тихонович (1907–1982)","Vilnius : Briedis, 2023"
Lankininkas,"Coelho, Paulo","Vilnius : Vaga, 2023"
Žmona,"Wolitzer, Meg","Vilnius : BALTO leidybos namai, 2023"
55,"Delargy, James","Vilnius : BALTO leidybos namai, 2023"
Viską pakeitusios Kalėdos,"Meier, Susan","Vilnius : Svajonių knygos, 2023"
Pelėdžiukas ir sapnų mašina,"Marcinkevičius, Marius","Kaunas : Misteris Pinkmanas, 2023"
Research on environmentally friendly organic granular fertilizer spreading technologies,"Zinkevičienė, Raimonda","Kaunas : [Vytautas Magnus University], 2023"
Kairiarankio kentauro pėdomis,"Šidlauskas, Marijus","Vilnius : Lietuvių literatūros ir tautosakos institutas, 2023"
Šūdmalos darbų teorija,"Graeber, David (1961–2020)","Vilnius : Hubris, 2023"
V kaip vanagas,"Macdonald, Helen","Vilnius : „Baltų lankų“ leidyba, [2023]"
Karikatūros,"Augustinas, Jaunius","Punskas : Punsko „Aušros“ leidykla, 2023"
Enigma regum. Tamga,"Rankelienė, Sondra","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Sewing techniques,"Prendergast, Jennifer","London [etc.] : Bloomsbury visual arts, 2023"
"Good pop, bad pop","Cocker, Jarvis Branson","London : Vintage, 2023"
Renkuosi atleisti,"Enright, Robert D.","Vilnius : Katalikų pasaulio leidiniai, [2023]"
Liudas Alseika (1887–1960),"Kiriliauskas, Jonas","Stačiūnai, Pakruojo rajonas : Litera, 2023"
Elixir,"Levitt, Theresa","London : Basic Books, 2023"
Project management for newbies,"Soswa, Andrew","[USA] : Andrew Soswa, 2023"
Into the void,"Butler, Geezer","London : Harper Collins Publishers, 2023"
Project management mastery,"Hayden, Jack","[UK] : [s.n.], 2023"
Pjesės akordeonui chromatiniais bosais,"Bakulienė, Renata","Šiauliai : Lucilijus, 2023"
Aš esu Leonardas,"Sorosiak, Carlie",2023
Naujagimiai,"Tumasonytė, Jurga",2023
Puikios savijautos vadovas,"Burns, David D.","Vilnius : Vaga, 2023"
Mirties pasaka,"Gruber, Andreas","Kaunas : Jotema, [2023]"
Kūrybos sparnais pakilę,"Jankauskienė, Jūratė","Kaunas : Ridsales, 2023"
Ugdymas(is) tvarumui,"Bilbokaitė, Renata","Vilnius : Vilniaus universiteto leidykla, 2023"
Žana,"Chen, Katherine J.","Vilnius : Alma littera, 2023"
Po žvaigždėtu Dzūkijos dangumi,"Truskaitė-Tamulynienė, Nijolė","Kaunas : Ridsales, 2023"
Būk naudingas,"Schwarzenegger, Arnold","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Švyturys tarp dviejų vandenynų,"Stedman, M.L.","[Vilnius] : Alma littera, [2023]"
Apolonija,"Viliūnė, Gina","Vilnius : Alma littera, 2023"
Gliukozės revoliucija,"Inchauspé, Jessie","Vilnius : Alma littera, 2023"
Gliukozės revoliucija,"Inchauspé, Jessie","[Vilnius] : [Alma littera], [2023]"
Naminių obelų (Malus domestica Borkh.) vaisių fitocheminės sudėties ir biologinio aktyvumo tyrimas,"Bračiulienė, Aurita","Kaunas : [Lietuvos sveikatos mokslų universitetas], 2023"
Žemė,"Barauskienė, Lina","Vilnius : Briedis, 2023-"
"Breast, cervical, head and neck cancer: TFAM and POLG variants, mitochondrial DNA alterations and miRNA-210-3p expression effect on tumor phenotype and disease outcome","Stakaitienė, Ieva","Kaunas : [Lithuanian University of Health Sciences], 2023"
Pogumburio-posmegeninės liaukos-antinksčių ašies aktyvumą atspindinčių rodiklių ir NR3C2 polimorfizmų sąsaja su ūminio miokardo infarkto eiga ir jo baigtimis,"Braukylienė, Rima","Kaunas : [Lietuvos sveikatos mokslų universitetas], 2023"
Identification of biomarkers to differentiate the types of acute appendicitis and multisystem inflammatory syndrome in children,"Vansevičienė, Idilė","Kaunas : [Lithuanian University of Health Sciences], 2023"
"Vaikų mobiliosios plokščiapėdystės klinikinių, radiologinių rodiklių ir gyvenimo kokybės vertinimas","Žukauskas, Saidas","Kaunas : [Lietuvos sveikatos mokslų universitetas], 2023"
