Pavadinimas,Autorius,Publikavimo duomenys
Atsiminimai apie Sokratą, Xenophon,Pradai                                            1993Vilnius
Rasė ir istorija,Claude Levi-Strauss,Baltos lankos                                            1992Vilnius
Laimė tavo rankose,Andrej Kurpatov,Alma littera                                            2009Vilnius
Šaolinas,Bernhard Moestl,Algarvė                                            2008Vilnius
Meno filosofija,Antanas Andrijauskas,Lietuvos aklųjų biblioteka                                            2010Vilnius
